model,engine,profile,requested_depth,concurrency,measured_bursts,requests,aggregate_tokens_per_second,burst_1_tokens_per_second,burst_2_tokens_per_second,ttft_median_ms,native_execution_modes,native_peak_batch_size
27b,native,main,0,1,2,2,30.986219,31.168440,30.806116,416.509,continuous,1
27b,native,main,0,2,2,4,55.557414,55.665387,55.449859,550.085,continuous,2
27b,native,main,0,4,2,8,81.832449,82.080607,81.585787,814.543,continuous,4
27b,native,main,2,1,2,2,49.361173,55.342766,44.546472,347.664,cohort,1
27b,native,main,2,2,2,4,45.866061,45.662867,46.071071,559.927,cohort,2
27b,native,main,2,4,2,8,42.382694,43.034140,41.750677,933.963,cohort,4
flash,native,main,0,1,2,2,28.203884,28.615753,27.803702,1229.005,continuous,1
flash,native,main,0,2,2,4,51.817326,51.678387,51.957014,1134.458,continuous,2
flash,native,main,0,4,2,8,76.925847,76.803387,77.048698,1498.059,continuous,4
flash,native,main,2,1,2,2,42.194013,49.856187,36.573236,884.896,cohort,1
flash,native,main,2,2,2,4,52.826027,51.600655,54.111013,1145.943,cohort,2
flash,native,main,2,4,2,8,69.675068,69.027970,70.334414,1555.213,cohort,4
27b,omlx,main,0,1,2,2,31.327999,31.350468,31.305562,488.796,not_exposed,
27b,omlx,main,0,2,2,4,56.740308,56.840279,56.640689,661.292,not_exposed,
27b,omlx,main,0,4,2,8,84.107495,83.652839,84.567119,1066.779,not_exposed,
27b,omlx,main,2,1,2,2,51.688676,54.980533,48.768739,465.422,not_exposed,
27b,omlx,main,2,2,2,4,57.081432,57.222035,56.941518,665.220,not_exposed,
27b,omlx,main,2,4,2,8,83.833981,84.110871,83.558909,1059.225,not_exposed,
flash,omlx,main,0,1,2,2,35.138233,36.256092,34.087244,936.269,not_exposed,
flash,omlx,main,0,2,2,4,51.144405,51.028852,51.260482,1153.172,not_exposed,
flash,omlx,main,0,4,2,8,81.608650,81.162314,82.059922,1599.605,not_exposed,
flash,omlx,main,2,1,2,2,42.088570,47.678624,37.671764,959.348,not_exposed,
flash,omlx,main,2,2,2,4,51.418306,51.608743,51.229269,1167.211,not_exposed,
flash,omlx,main,2,4,2,8,80.670655,80.050802,81.300183,1644.836,not_exposed,
flash,omlx,forced_rowwise_mtp,2,2,2,4,39.202299,39.613755,38.799303,1235.326,not_exposed,
flash,omlx,forced_rowwise_mtp,2,4,2,8,39.020094,38.574350,39.476260,1742.756,not_exposed,
27b,native,staggered_250ms,0,2,1,2,55.164455,55.164455,,491.032,continuous,2
27b,native,staggered_250ms,2,2,1,2,49.102928,49.102928,,2453.431,cohort,1
flash,native,staggered_250ms,0,2,1,2,51.125385,51.125385,,985.279,continuous,2
flash,native,staggered_250ms,2,2,1,2,47.024020,47.024020,,2909.093,cohort,1
27b,omlx,staggered_250ms,0,2,1,2,55.438414,55.438414,,586.183,not_exposed,
27b,omlx,staggered_250ms,2,2,1,2,37.665531,37.665531,,552.578,not_exposed,
flash,omlx,staggered_250ms,0,2,1,2,52.838480,52.838480,,949.317,not_exposed,
flash,omlx,staggered_250ms,2,2,1,2,51.934368,51.934368,,996.222,not_exposed,
